number,created_at,html_url,state,resolution,resolved_at,resolved_by_username,resolved_by_type,resolved_by_isadmin,secret_type,secret_type_display_name,repo_name,repo_owner,repo_owner_type,repo_owner_isadmin,repo_url,repo_isfork,repo_isprivate
1,2025-02-28T20:29:46Z,https://github.com/mgil-lab-org/sample-django-app/security/secret-scanning/1,open,,,,,,github_personal_access_token,GitHub Personal Access Token,mgil-lab-org/sample-django-app,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/sample-django-app,True,False
1,2025-02-28T18:45:11Z,https://github.com/mgil-lab-org/juice-shop/security/secret-scanning/1,open,,,,,,github_personal_access_token,GitHub Personal Access Token,mgil-lab-org/juice-shop,mgil-lab-org,Organization,False,https://github.com/mgil-lab-org/juice-shop,True,False
